x_metric,x_metric_slug,x_metric_label,y_metric,y_metric_slug,y_metric_label,relationship,municipio,weights,n_tracts,moran_bv_I,p_sim,p_z_sim,z_sim,permutations,interpretation_note
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",median_household_income_usd,income,ACS median household income (USD),PV density vs spatial lag of Median income,Isabela,queen,11,-0.14059952782471635,0.131,0.11938706490658085,-1.1780563810526683,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",median_household_income_usd,income,ACS median household income (USD),PV density vs spatial lag of Median income,San Juan,queen,127,0.18344905201073097,0.003,0.0020887681121395545,2.864435197291346,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",pct_bachelor_plus,education,Share age 25+ with Bachelor's or higher,PV density vs spatial lag of Education,Isabela,queen,11,-0.05623438606894755,0.323,0.3242638599369419,-0.4558084602080792,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",pct_bachelor_plus,education,Share age 25+ with Bachelor's or higher,PV density vs spatial lag of Education,San Juan,queen,127,0.26096890026263025,0.001,3.617795122445865e-05,3.9684029849306053,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",pct_spanish_english_well_18_64,english_well,Share of Spanish-speaking adults 18-64 who speak English well,PV density vs spatial lag of English proficiency,Isabela,queen,11,-0.049905968528893535,0.353,0.34107199634210084,-0.4095392173938211,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",pct_spanish_english_well_18_64,english_well,Share of Spanish-speaking adults 18-64 who speak English well,PV density vs spatial lag of English proficiency,San Juan,queen,127,0.14433047598092089,0.014,0.01077550391454083,2.2981894687378825,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",pct_spanish_english_not_at_all_18_64,english_none,Share of Spanish-speaking adults 18-64 who speak no English,PV density vs spatial lag of No English,Isabela,queen,11,0.013196817676648676,0.475,0.4664509707400891,0.08419431076603077,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",pct_spanish_english_not_at_all_18_64,english_none,Share of Spanish-speaking adults 18-64 who speak no English,PV density vs spatial lag of No English,San Juan,queen,127,-0.24830016303178948,0.001,5.8517922252772796e-05,-3.8522533420476957,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),PV density vs spatial lag of Social vulnerability,Isabela,queen,11,0.10574545225416085,0.201,0.18573941731135202,0.8937067094052767,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),PV density vs spatial lag of Social vulnerability,San Juan,queen,130,-0.2541369937359509,0.001,2.4264513214223164e-05,-4.062600580716708,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),PV density vs spatial lag of Irradiance,Isabela,queen,11,0.20398816255551303,0.037,0.03997284838853672,1.7510012379425832,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
any_pv_evidence_buildings_per_1000,pv_density,"Buildings with any PV evidence per 1,000 buildings",nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),PV density vs spatial lag of Irradiance,San Juan,queen,137,-0.12643119499742184,0.018,0.012412435659220362,-2.244117048581152,999,Bivariate Moran compares the x metric in each tract with the spatial lag of the y metric among neighboring tracts.
